,repo_name,full_name,owner_name,git_url,language,num_commits,num_stars,num_forks,created_at,updated_at
57,tomcat,apache/tomcat,apache,https://github.com/apache/tomcat,Java,21665,4113,2804,2011-10-01 07:00:19,2020-01-04 05:13:55
78,Lawnchair,LawnchairLauncher/Lawnchair,LawnchairLauncher,https://github.com/LawnchairLauncher/Lawnchair,Java,21497,3160,548,2017-03-03 13:12:58,2020-01-04 09:09:15
26,incubator-shardingsphere,apache/incubator-shardingsphere,apache,https://github.com/apache/incubator-shardingsphere,Java,20293,9627,3309,2016-01-18 12:49:26,2020-01-04 08:21:16
4,spring-framework,spring-projects/spring-framework,spring-projects,https://github.com/spring-projects/spring-framework,Java,20163,34572,22890,2010-12-08 04:04:45,2020-01-04 09:16:26
16,flink,apache/flink,apache,https://github.com/apache/flink,Java,19946,11759,6247,2014-06-07 07:00:10,2020-01-04 08:56:49
59,orientdb,orientechnologies/orientdb,orientechnologies,https://github.com/orientechnologies/orientdb,Java,18977,4050,810,2012-12-09 20:33:47,2020-01-03 16:42:46
65,Launcher3,amirzaidi/Launcher3,amirzaidi,https://github.com/amirzaidi/Launcher3,Java,17828,3540,576,2017-05-30 12:53:32,2020-01-04 08:36:03
91,jetty.project,eclipse/jetty.project,eclipse,https://github.com/eclipse/jetty.project,Java,17647,2749,1503,2011-07-14 01:11:57,2020-01-04 07:49:47
73,hbase,apache/hbase,apache,https://github.com/apache/hbase,Java,17130,3304,2250,2014-05-23 07:00:07,2020-01-04 03:42:09
60,jmeter,apache/jmeter,apache,https://github.com/apache/jmeter,Java,16736,3761,1207,2010-05-26 23:38:07,2020-01-03 12:36:49
21,presto,prestodb/presto,prestodb,https://github.com/prestodb/presto,Java,16683,10039,3446,2012-08-09 01:03:37,2020-01-04 08:23:12
66,groovy,apache/groovy,apache,https://github.com/apache/groovy,Java,16657,3531,1368,2015-04-16 07:00:05,2020-01-03 22:23:28
7,tutorials,eugenp/tutorials,eugenp,https://github.com/eugenp/tutorials,Java,16449,18870,28947,2013-04-29 18:26:36,2020-01-04 09:28:57
110,h2o-2,h2oai/h2o-2,h2oai,https://github.com/h2oai/h2o-2,Java,16171,2261,599,2013-02-06 03:09:38,2019-12-19 09:37:37
45,graylog2-server,Graylog2/graylog2-server,Graylog2,https://github.com/Graylog2/graylog2-server,Java,15984,5134,790,2010-05-17 21:27:02,2020-01-04 08:47:16
